trade_date,qid_date,open,high,low,close,vol,amount,pct_chg,group_len,total_profit
2022/6/8,2022/6/7,2558.154,2576.335,2507.111,2576.335,181170.51,8102775.21,0.008498,32,740607.9507
2022/6/9,2022/6/8,2558.326,2561.406,2491.822,2500.205,157424.22,6081028.5,-0.02955,13,718722.9858
2022/6/10,2022/6/9,2482.312,2556.981,2481.957,2556.473,174123.31,7328716.74,0.022505,18,734897.8466
2022/6/13,2022/6/10,2522.73,2563.239,2520.003,2546.488,177794.91,7025384.66,-0.003906,23,732027.3356
2022/6/14,2022/6/13,2515.511,2551.084,2461.543,2548.314,197310.49,7062737.27,0.000717,14,732552.1992
2022/6/15,2022/6/14,2560.644,2631.938,2550.501,2575.086,263813.52,9840867.8,0.010506,15,740248.3926
2022/6/16,2022/6/15,2575.964,2616.822,2574.953,2585.471,203806.99,7367462.52,0.004033,11,743233.8144
2022/6/17,2022/6/16,2561.396,2666.076,2559.671,2657.212,195143.48,8330216.04,0.027748,15,763857.0663
2022/6/20,2022/6/17,2672.768,2741.588,2672.316,2710.141,188436.68,8308704.51,0.019919,24,779072.3352
2022/6/21,2022/6/20,2707.98,2723.034,2664.685,2692.985,182256.3,6669657.27,-0.00633,17,774140.8073
2022/6/22,2022/6/21,2701.628,2721.809,2677.011,2677.285,188190.58,7075344.71,-0.00583,13,769627.5664
2022/6/23,2022/6/22,2693.751,2760.102,2672.579,2760.102,200270.13,7694392.06,0.030933,23,793434.4559
2022/6/24,2022/6/23,2779.407,2824.44,2761.46,2824.44,186547.54,8057604.26,0.02331,12,811929.4131
2022/6/27,2022/6/24,2838.58,2863.658,2819.289,2830.597,203883.64,8466401.16,0.00218,18,813699.4192
2022/6/28,2022/6/27,2827.352,2850.286,2771.933,2840.42,204678.8,8122799.11,0.00347,15,816522.9562
2022/6/29,2022/6/28,2817.117,2845.461,2764.397,2768.61,231575.03,8895760.07,-0.025281,27,795880.4393
2022/6/30,2022/6/29,2776.393,2834.49,2772.769,2810.601,193782.82,7896418.39,0.015167,17,807951.5579
2022/7/1,2022/6/30,2810.106,2822.797,2768.483,2781.943,176459.28,6726893.23,-0.010196,14,799713.6838
2022/7/4,2022/7/1,2764.62,2834.689,2748.131,2834.689,188035.68,8154493.88,0.01896,22,814876.2553
2022/7/5,2022/7/4,2845.74,2867.425,2780.358,2825.131,195648.28,8885159.51,-0.003372,25,812128.4926
2022/7/6,2022/7/5,2826.351,2858.049,2776.7,2802.715,174177.07,8176983.03,-0.007934,16,805685.0651
2022/7/7,2022/7/6,2814.15,2852.803,2792.179,2849.706,166959.24,8898213.6,0.016766,19,819193.1809
2022/7/8,2022/7/7,2868.689,2887.718,2810.647,2817.639,200705.2,8583627.11,-0.011253,32,809974.8
2022/7/11,2022/7/8,2804.548,2804.798,2742.456,2767.461,159844.58,7076429.56,-0.017809,25,795549.9588
2022/7/12,2022/7/11,2768.819,2774.12,2697.683,2702.693,145210.07,6564533.57,-0.023403,16,776931.7031
2022/7/13,2022/7/12,2708.096,2762.511,2674.47,2746.86,134525.6,6898687.01,0.016342,37,789628.321
2022/7/14,2022/7/13,2739.918,2841.385,2736.322,2819.129,151369.9,7597365.39,0.02631,38,810403.4421
2022/7/15,2022/7/14,2804.177,2835.011,2760.499,2760.499,148202.49,6624676.88,-0.020797,26,793549.4818
2022/7/18,2022/7/15,2778.404,2812.673,2736.259,2800.357,162858.11,7269588.44,0.014439,55,805007.5427
2022/7/19,2022/7/18,2799.377,2799.377,2736.668,2750.866,147258.03,6549471.48,-0.017673,39,790780.6444
2022/7/20,2022/7/19,2764.245,2786.294,2754.176,2765.162,134410.93,5537491.13,0.005197,29,794890.3314
2022/7/21,2022/7/20,2756.317,2794.369,2741.313,2751.415,134627.25,5704109.2,-0.004971,27,790938.9316
2022/7/22,2022/7/21,2776.985,2788.936,2714.116,2737.314,138692.99,5902601.13,-0.005125,30,786885.3696
2022/7/25,2022/7/22,2732.611,2736.725,2693.157,2704.945,115284.11,4967567.62,-0.011825,52,777580.4501
2022/7/26,2022/7/25,2708.736,2729.377,2682.21,2713.458,100206.54,4560050.89,0.003147,30,780027.4958
2022/7/27,2022/7/26,2710.737,2730.17,2696.198,2714.249,120112.78,5254251,0.000292,20,780255.2638
2022/7/28,2022/7/27,2734.626,2749.139,2704.05,2705.901,174565.13,6483589.27,-0.003076,26,777855.1986
2022/7/29,2022/7/28,2716.101,2718.526,2665.653,2670.451,148377.3,6112472.28,-0.013101,29,767664.5176
2022/8/1,2022/7/29,2662.755,2734.642,2641.177,2733.736,155995.06,6496275.78,0.023698,34,785856.6314
2022/8/2,2022/8/1,2692.123,2716.04,2651.852,2678.621,189936.13,6813468.14,-0.020161,29,770012.9758
2022/8/3,2022/8/2,2687.248,2716.22,2620.395,2628.818,163015.37,6631991.77,-0.018593,8,755696.1246
2022/8/4,2022/8/3,2644.997,2655.657,2610.503,2640.776,126540.25,5283036.77,0.004549,19,759133.7862
2022/8/5,2022/8/4,2648.055,2686.23,2637.235,2683.602,157787.58,6422456.17,0.016217,21,771444.6589
2022/8/8,2022/8/5,2668.987,2679.682,2647.252,2675.686,131154.04,5568084.88,-0.00295,47,769168.8971
2022/8/9,2022/8/8,2668.918,2698.456,2658.685,2694.8,132033.13,5851675.96,0.007144,45,774663.8397
2022/8/10,2022/8/9,2688.133,2692.249,2645.547,2658.585,135240.09,5481615.89,-0.013439,31,764253.1324
2022/8/11,2022/8/10,2672.176,2724.846,2650.877,2721.493,226928.19,7381115.98,0.023662,60,782336.89
2022/8/12,2022/8/11,2712.693,2717.677,2689.668,2690.831,148249.92,4999842.7,-0.011267,55,773522.3002
2022/8/15,2022/8/12,2688.66,2734.327,2686.822,2718.593,140834.5,6128162.47,0.010317,92,781502.7298
2022/8/16,2022/8/15,2725.927,2759.516,2718.172,2731.393,141266.04,6227805.67,0.004708,74,785182.0447
2022/8/17,2022/8/16,2739.48,2783.929,2719.222,2777.91,188591.88,7317022.57,0.017031,87,798554.4801
2022/8/18,2022/8/17,2771.154,2797.485,2769.21,2775.821,178873.26,6704512.82,-0.000752,71,797953.9671
2022/8/19,2022/8/18,2779.991,2780.097,2733.049,2734.218,180428.74,6372225.19,-0.014988,100,785994.233
2022/8/22,2022/8/19,2730.423,2782.667,2715.16,2779.016,157073.23,6267213.26,0.016384,147,798871.9626
2022/8/23,2022/8/22,2775.214,2802.05,2764.522,2780.306,143283.75,6026070.48,0.000464,126,799242.6391
2022/8/24,2022/8/23,2800.378,2803.43,2675.88,2679.048,177291.81,7535088.25,-0.03642,89,770134.2222
2022/8/25,2022/8/24,2688.862,2694.159,2634.851,2667.301,142210.16,6088944.63,-0.004385,98,766757.1837
2022/8/26,2022/8/25,2666.214,2677.727,2634.432,2640.291,132420.36,5597681.43,-0.010126,176,758993.0004
2022/8/29,2022/8/26,2599.84,2641.17,2595.706,2630.505,118565.76,5058986.39,-0.003706,413,756180.1724
2022/8/30,2022/8/29,2630.131,2632.128,2594.784,2612.142,115784.91,5006929.2,-0.006981,272,750901.2786
2022/8/31,2022/8/30,2596.156,2611.646,2550.994,2570.415,149109.61,6683771,-0.015974,251,738906.3816
2022/9/1,2022/8/31,2561.935,2584.617,2531.807,2533.854,115316.68,5128369.06,-0.014224,181,728396.1772
2022/9/2,2022/9/1,2548.182,2552.341,2517.456,2533.023,106547.45,4668792.56,-0.000328,140,728157.2632
2022/9/5,2022/9/2,2528.707,2553.107,2519.894,2538.204,104441.35,4651074.28,0.002045,135,729646.3448
2022/9/6,2022/9/5,2541.122,2542.981,2493.429,2540.635,111193.45,5777752.26,0.000958,106,730345.346
2022/9/7,2022/9/6,2525.155,2584.853,2522.375,2570.801,111012.43,5400579.76,0.011873,42,739016.7363
2022/9/8,2022/9/7,2570.046,2572.117,2521.542,2523.006,108647.26,4781283.43,-0.018591,26,725277.6762
2022/9/9,2022/9/8,2535.745,2551.055,2525.769,2548.216,112164.83,4602503.44,0.009992,37,732524.6507
2022/9/13,2022/9/9,2566.838,2569.113,2537.277,2550.626,101160.52,4401251.56,0.000946,0,733217.6191
2022/9/14,2022/9/13,2512.283,2527.279,2486.082,2503.825,97171.46,4925063.43,-0.018349,24,719763.809
2022/9/15,2022/9/14,2512.453,2515.207,2404.436,2424.192,132644.3,6311724.59,-0.031805,23,696871.721
2022/9/16,2022/9/15,2418.438,2430.23,2366.895,2367.398,176341.84,6049686.19,-0.023428,17,680545.4103
2022/9/19,2022/9/16,2360.58,2389.477,2339.034,2350.376,121778.07,4653642.04,-0.00719,22,675652.2888
2022/9/20,2022/9/19,2366.787,2397.925,2351.893,2366.904,97412.07,4483726.48,0.007032,18,680403.4757
2022/9/21,2022/9/20,2353.777,2358.964,2322.951,2331.516,104448.34,4057990.79,-0.014951,16,670230.7634
2022/9/22,2022/9/21,2309.287,2348.763,2302.643,2319.419,92988.12,3803756.43,-0.005188,15,666753.6062
2022/9/23,2022/9/22,2320.918,2336.289,2275.292,2303.905,99023.01,3934632.9,-0.006689,12,662293.6913
2022/9/26,2022/9/23,2288.232,2358.477,2285.636,2323.052,103326.01,4626886.07,0.008311,23,667798.0142
2022/9/27,2022/9/26,2336.038,2374.737,2325.651,2374.737,111876.68,4436522.71,0.022249,22,682655.8522
2022/9/28,2022/9/27,2367.481,2367.481,2313.77,2313.77,102222.32,4156818.52,-0.025673,13,665130.0285
2022/9/29,2022/9/28,2343.276,2359.125,2321.559,2332.995,98945.46,3972074.96,0.008309,18,670656.5939
2022/9/30,2022/9/29,2335.54,2339.188,2288.195,2288.969,94893.46,3785116.02,-0.018871,0,658000.6333
2022/10/10,2022/9/30,2294.715,2301.236,2230.637,2236.245,107424.91,4222968.97,-0.023034,11,642844.2467
