,ts_code,trade_date,trade_date1,qid_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
81,399300.SZ,20230919,2023/9/19,2023/9/18,3720.5021,3723.4244,3724.0717,3702.6934,3727.711,-7.2089,-0.1934,83199038,135216895.2
82,399300.SZ,20230918,2023/9/18,2023/9/15,3727.711,3698.9344,3737.5306,3691.1107,3708.7766,18.9344,0.5105,86727741,156966973.9
83,399300.SZ,20230915,2023/9/15,2023/9/14,3708.7766,3740.7853,3749.0247,3699.3806,3733.5077,-24.7311,-0.6624,109395689,180398970.9
84,399300.SZ,20230914,2023/9/14,2023/9/13,3733.5077,3736.9355,3748.8177,3717.3107,3736.6513,-3.1436,-0.0841,100386075,151578100.5
85,399300.SZ,20230913,2023/9/13,2023/9/12,3736.6513,3759.6091,3768.8162,3719.1114,3760.6048,-23.9535,-0.637,81576901,138238089.9
86,399300.SZ,20230912,2023/9/12,2023/9/11,3760.6048,3764.3331,3775.093,3755.4162,3767.537,-6.9322,-0.184,79385378,140117510.2
87,399300.SZ,20230911,2023/9/11,2023/9/8,3767.537,3740.5846,3788.3219,3734.7228,3739.9927,27.5443,0.7365,105358016,186871759.4
88,399300.SZ,20230908,2023/9/8,2023/9/7,3739.9927,3747.6509,3753.263,3724.987,3758.4748,-18.4821,-0.4917,71638166,129197657.3
89,399300.SZ,20230907,2023/9/7,2023/9/6,3758.4748,3802.2272,3802.2272,3756.853,3812.0283,-53.5535,-1.4049,95103903,164405748.8
90,399300.SZ,20230906,2023/9/6,2023/9/5,3812.0283,3808.1,3817.5239,3790.8949,3820.3174,-8.2891,-0.217,93442393,166081524
91,399300.SZ,20230905,2023/9/5,2023/9/4,3820.3174,3839.5779,3839.5779,3814.3338,3848.9517,-28.6343,-0.744,104052333,181377878
92,399300.SZ,20230904,2023/9/4,2023/9/1,3848.9517,3812.9873,3854.2605,3804.5886,3791.4912,57.4605,1.5155,142385201,237934727.9
93,399300.SZ,20230901,2023/9/1,2023/8/31,3791.4912,3778.9129,3808.5306,3778.9129,3765.2678,26.2234,0.6965,105319045,172219141.6
94,399300.SZ,20230831,2023/8/31,2023/8/30,3765.2678,3786.9261,3793.9972,3762.0046,3788.5097,-23.2419,-0.6135,118961646,193577001.3
95,399300.SZ,20230830,2023/8/30,2023/8/29,3788.5097,3803.1191,3813.7032,3780.2411,3790.1067,-1.597,-0.0421,129671661,226727480.8
96,399300.SZ,20230829,2023/8/29,2023/8/28,3790.1067,3743.0534,3810.3772,3742.0758,3752.6194,37.4873,0.999,152486146,262134936.8
97,399300.SZ,20230828,2023/8/28,2023/8/25,3752.6194,3911.5485,3911.5485,3740.5279,3709.1517,43.4677,1.1719,197990379,335047671
98,399300.SZ,20230825,2023/8/25,2023/8/24,3709.1517,3703.5136,3734.2185,3695.8442,3723.4293,-14.2776,-0.3835,105182610,175601437.2
99,399300.SZ,20230824,2023/8/24,2023/8/23,3723.4293,3711.5403,3748.8567,3701.5717,3696.6339,26.7954,0.7249,119614521,196257391.1
100,399300.SZ,20230823,2023/8/23,2023/8/22,3696.6339,3751.7736,3756.1659,3695.0309,3758.2271,-61.5932,-1.6389,97081638,160476231.6
101,399300.SZ,20230822,2023/8/22,2023/8/21,3758.2271,3748.0675,3770.0556,3704.6785,3729.555,28.6721,0.7688,120318327,203463879.7
102,399300.SZ,20230821,2023/8/21,2023/8/18,3729.555,3773.225,3782.1112,3729.555,3784.0038,-54.4488,-1.4389,98708369,173379942.9
103,399300.SZ,20230818,2023/8/18,2023/8/17,3784.0038,3832.4554,3844.195,3784.0038,3831.1008,-47.097,-1.2293,95549638,168445687
104,399300.SZ,20230817,2023/8/17,2023/8/16,3831.1008,3801.1969,3836.1507,3782.4967,3818.3338,12.767,0.3344,98415493,174093848.2
105,399300.SZ,20230816,2023/8/16,2023/8/15,3818.3338,3830.8274,3852.4198,3817.6324,3846.5357,-28.2019,-0.7332,94616946,169323869
106,399300.SZ,20230815,2023/8/15,2023/8/14,3846.5357,3858.3662,3865.284,3811.6839,3855.9061,-9.3704,-0.243,103097111,177437071.7
107,399300.SZ,20230814,2023/8/14,2023/8/11,3855.9061,3840.8872,3859.4718,3814.0711,3884.2538,-28.3477,-0.7298,115966336,197623765.2
108,399300.SZ,20230811,2023/8/11,2023/8/10,3884.2538,3977.9834,3977.9834,3884.2538,3975.7166,-91.4628,-2.3005,126082931,203546314.6
109,399300.SZ,20230810,2023/8/10,2023/8/9,3975.7166,3962.8569,3976.4637,3945.3869,3967.5652,8.1514,0.2055,97176849,175646730.2
110,399300.SZ,20230809,2023/8/9,2023/8/8,3967.5652,3967.3566,3982.1091,3961.8434,3979.7322,-12.167,-0.3057,94640269,174394242.8
111,399300.SZ,20230808,2023/8/8,2023/8/7,3979.7322,3980.0423,4002.2904,3963.4632,3990.1531,-10.4209,-0.2612,109871699,202611335.3
