Sampling Rate,Model,Value
60%,LambdaMART,-0.218616548
60%,LambdaMART,-0.223818178
60%,LambdaMART,-0.224747771
60%,LambdaMART,-0.228565394
60%,LambdaMART,-0.235480346
60%,LambdaMART,-0.238347109
60%,LambdaMART,-0.239516582
60%,LambdaMART,-0.245611449
60%,LambdaMART,-0.249846364
60%,LambdaMART,-0.252682084
60%,LambdaMART,-0.262438576
60%,LambdaMART,-0.267356112
60%,LambdaMART,-0.276107507
60%,LambdaMART,-0.276291847
60%,LambdaMART,-0.27752375
60%,LambdaMART,-0.280948958
60%,LambdaMART,-0.282881551
60%,LambdaMART,-0.28592193
60%,LambdaMART,-0.288647805
60%,LambdaMART,-0.289189256
60%,LambdaMART,-0.290214865
60%,LambdaMART,-0.290603744
60%,LambdaMART,-0.292113971
60%,LambdaMART,-0.292144108
60%,LambdaMART,-0.294156406
60%,LambdaMART,-0.302000019
60%,LambdaMART,-0.303175268
60%,LambdaMART,-0.313586961
60%,LambdaMART,-0.313703633
60%,LambdaMART,-0.314063969
60%,LambdaMART,-0.314432435
60%,LambdaMART,-0.316390821
60%,LambdaMART,-0.319486591
60%,LambdaMART,-0.322854118
60%,LambdaMART,-0.323924164
60%,LambdaMART,-0.324465909
60%,LambdaMART,-0.327279895
60%,LambdaMART,-0.328805548
60%,LambdaMART,-0.329650201
60%,LambdaMART,-0.346561653
60%,LambdaMART,-0.34768092
60%,LambdaMART,-0.348762762
60%,LambdaMART,-0.350849436
60%,LambdaMART,-0.351538961
60%,LambdaMART,-0.353777341
60%,LambdaMART,-0.355929228
60%,LambdaMART,-0.355970541
60%,LambdaMART,-0.356616331
60%,LambdaMART,-0.358551342
60%,LambdaMART,-0.365361731
60%,LambdaMART,-0.365390679
60%,LambdaMART,-0.367230513
60%,LambdaMART,-0.368318881
60%,LambdaMART,-0.369372954
60%,LambdaMART,-0.379625373
60%,LambdaMART,-0.379656589
60%,LambdaMART,-0.383854875
60%,LambdaMART,-0.387414547
60%,LambdaMART,-0.390244439
60%,LambdaMART,-0.391230076
60%,LambdaMART,-0.39165533
60%,LambdaMART,-0.391755085
60%,LambdaMART,-0.392799799
60%,LambdaMART,-0.398813586
60%,LambdaMART,-0.403636075
60%,LambdaMART,-0.407276449
60%,LambdaMART,-0.416399664
60%,LambdaMART,-0.419885161
60%,LambdaMART,-0.427532056
60%,LambdaMART,-0.429087641
60%,LambdaMART,-0.435022468
60%,LambdaMART,-0.435421931
60%,LambdaMART,-0.437371989
60%,LambdaMART,-0.443988807
60%,LambdaMART,-0.444082595
60%,LambdaMART,-0.450598456
60%,LambdaMART,-0.452095801
60%,LambdaMART,-0.456783465
60%,LambdaMART,-0.458513075
60%,LambdaMART,-0.461723431
60%,LambdaMART,-0.46343877
60%,LambdaMART,-0.465952278
60%,LambdaMART,-0.468386674
60%,LambdaMART,-0.46872623
60%,LambdaMART,-0.469401655
60%,LambdaMART,-0.470958966
60%,LambdaMART,-0.476252425
60%,LambdaMART,-0.481101879
60%,LambdaMART,-0.488279248
60%,LambdaMART,-0.490662119
60%,LambdaMART,-0.490741694
60%,LambdaMART,-0.502237089
60%,LambdaMART,-0.505940123
60%,LambdaMART,-0.507071056
60%,LambdaMART,-0.507920966
60%,LambdaMART,-0.51385226
60%,LambdaMART,-0.525801698
60%,LambdaMART,-0.525970919
60%,LambdaMART,-0.527256735
60%,LambdaMART,-0.529069328
60%,LambdaMART,-0.530514064
60%,LambdaMART,-0.535341123
60%,LambdaMART,-0.536533839
