stock_code,年份,公司名称,评级日期,WindESG评级,ESG,管理实践得分,争议事件得分,E,S,治理得分,证监会行业,Wind行业
2382,2021,蓝帆医疗,2021/8/1,BBB,6.76,3.98,2.79,7.13,3.17,7.51,专用设备制造业,医疗保健设备与用品
2383,2021,合众思壮,2021/8/1,BB,5.68,3.02,2.65,0.28,3.95,6.21,计算机、通信和其他电子设备制造业,航空航天与国防Ⅲ
2384,2021,东山精密,2021/4/22,BBB,6.64,3.69,2.95,3.28,4.17,7.27,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
2385,2021,大北农,2021/4/28,BB,5.81,2.93,2.88,1.73,2.85,6.91,农副食品加工业,食品
2386,2021,天原股份,2021/8/1,A,7.58,4.72,2.85,3.34,5.98,9,化学原料和化学制品制造业,贸易公司与工业品经销商Ⅲ
2387,2021,维信诺,2021/8/1,BB,5.47,2.7,2.78,3.28,2.21,6.05,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
2388,2021,新亚制程,2021/8/1,BB,5.75,2.81,2.94,0,3.47,6.04,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
2389,2021,航天彩虹,2021/8/1,BBB,6.59,3.6,2.99,0,3.65,9,计算机、通信和其他电子设备制造业,航空航天与国防Ⅲ
2390,2021,信邦制药,2021/8/1,BBB,6.51,3.64,2.87,7.23,1.9,6.87,医药制造业,制药
2391,2021,长青股份,2021/8/1,BBB,6.66,3.66,3,2.66,6.2,6.67,化学原料和化学制品制造业,化工
2392,2021,北京利尔,2021/8/1,BBB,6.64,3.69,2.95,2.26,6.77,6.63,非金属矿物制品业,建材Ⅲ
2393,2021,力生制药,2021/8/1,BB,5.74,2.8,2.94,1.01,2.99,6.91,医药制造业,制药
2394,2021,联发股份,2021/4/30,BBB,6.55,3.6,2.95,0,6.25,6.8,纺织业,纺织品、服装与奢侈品
2395,2021,双象股份,2021/8/1,BB,6.18,3.28,2.91,1.99,5.45,6.42,橡胶和塑料制品业,化工
2396,2021,星网锐捷,2021/5/7,BBB,6.24,3.24,3,1.45,3.49,7.11,计算机、通信和其他电子设备制造业,通信设备Ⅲ
2397,2021,梦洁股份,2021/8/1,BBB,5.88,3.14,2.75,0,4.78,6.46,纺织业,纺织品、服装与奢侈品
2398,2021,垒知集团,2021/8/1,BB,5.3,2.31,2.99,0,2.86,6.68,化学原料和化学制品制造业,化工
2399,2021,海普瑞,2021/5/10,A,7.84,4.89,2.95,6.88,6.27,7.69,医药制造业,制药
2400,2021,省广集团,2021/8/1,BB,5.49,2.49,3,0,1.9,6.08,商务服务业,媒体Ⅲ
2401,2021,中远海科,2021/8/1,BB,5.54,2.67,2.87,0,2.76,6,软件和信息技术服务业,信息技术服务
2402,2021,和而泰,2021/8/1,BBB,6.2,3.26,2.95,1.93,4.12,6.2,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
2403,2021,爱仕达,2021/8/1,BB,5.15,2.81,2.33,0,4.16,5.57,金属制品业,家庭耐用消费品
2404,2021,嘉欣丝绸,2021/8/1,BBB,6.11,3.14,2.97,4.05,3.01,5.93,纺织服装、服饰业,纺织品、服装与奢侈品
2405,2021,四维图新,2021/8/1,BBB,6.28,3.43,2.85,0,4.33,6.13,软件和信息技术服务业,软件
2406,2021,远东传动,2021/8/1,BBB,6.93,3.95,2.98,1.87,6.51,6.38,汽车制造业,汽车零配件
2407,2021,多氟多,2021/5/3,BBB,6.89,3.92,2.97,1.92,6.3,8.29,化学原料和化学制品制造业,化工
2408,2021,齐翔腾达,2021/8/1,BB,5.4,2.7,2.71,2.32,2.2,6.72,化学原料和化学制品制造业,化工
