trade_date,qid_date,open,high,low,close,vol,amount,pct_chg,group_len,total_profit
2022/5/31,2022/5/30,4031.762,4096.197,4020.378,4091.518,1354155.13,26777008.87,0.015512,39,834834.2476
2022/6/1,2022/5/31,4086.618,4094.901,4058.847,4083.177,1148508.79,22541623.79,-0.002039,42,833132.0206
2022/6/2,2022/6/1,4064,4091.152,4057.914,4089.568,1138936.38,22265753.79,0.001565,46,834435.8722
2022/6/6,2022/6/2,4090.529,4166.615,4063.906,4166.085,1678710.11,32407562.69,0.01871,0,850048.1674
2022/6/7,2022/6/6,4165.69,4198.086,4155.168,4179.129,1429928.81,28573372.23,0.003131,30,852709.6682
2022/6/8,2022/6/7,4187.148,4224.81,4158.033,4219.812,1573740.57,31948025.28,0.009735,27,861010.7968
2022/6/9,2022/6/8,4211.723,4227.448,4160.881,4175.675,1684491.54,28517280.42,-0.010459,16,852005.4849
2022/6/10,2022/6/9,4145.651,4241.354,4140.22,4238.994,1847962.14,32409144.07,0.015164,25,864925.2961
2022/6/13,2022/6/10,4194.457,4218.233,4156.715,4189.353,1684756.22,33658567.05,-0.011711,36,854796.1559
2022/6/14,2022/6/13,4143.223,4224.086,4102.929,4222.311,1713859.04,33541855.79,0.007867,24,861520.8373
2022/6/15,2022/6/14,4228.293,4348.423,4228.293,4278.218,2570465.9,45976682.07,0.013241,16,872928.2347
2022/6/16,2022/6/15,4282.083,4302.921,4241.075,4250.061,1840744.16,33723591.15,-0.006581,26,867183.494
2022/6/17,2022/6/16,4219.234,4318.766,4218.682,4309.044,1586490.98,34667572.68,0.013878,23,879218.2665
2022/6/20,2022/6/17,4322.832,4368.356,4297.891,4330.433,1656663.82,35956929.69,0.004964,44,883582.706
2022/6/21,2022/6/20,4327.916,4357.34,4287.141,4325.566,1646676.15,31716331.77,-0.001124,27,882589.559
2022/6/22,2022/6/21,4331.902,4333.183,4269.246,4270.623,1585658.54,29865626.33,-0.012702,18,871378.9064
2022/6/23,2022/6/22,4277.956,4343.878,4260.9,4343.878,1708823.6,32714478.05,0.017153,19,886325.6688
2022/6/24,2022/6/23,4354.553,4400.685,4346.122,4394.772,1689721.99,35605475.05,0.011716,24,896709.8603
2022/6/27,2022/6/24,4414.332,4472.695,4414.332,4444.264,1773856.76,38143296.63,0.011262,32,906808.6068
2022/6/28,2022/6/27,4442.581,4497.895,4407.352,4490.517,1747564.89,36168597.07,0.010407,40,916245.764
2022/6/29,2022/6/28,4472.735,4503.131,4413.996,4421.357,1872766.88,39592610.77,-0.015401,33,902134.663
2022/6/30,2022/6/29,4418.066,4514.997,4418.066,4485.011,1566662.89,35434388.68,0.014397,42,915122.6957
2022/7/1,2022/6/30,4489.52,4500.985,4449.291,4466.718,1447795.99,31849213.02,-0.004079,56,911389.9102
2022/7/4,2022/7/1,4447.216,4496.034,4427.823,4496.03,1463456.51,35696852.13,0.006562,60,917370.4508
2022/7/5,2022/7/4,4505.457,4530.325,4439.451,4489.538,1549624.15,36189185.08,-0.001444,57,916045.7679
2022/7/6,2022/7/5,4475.482,4484.362,4393.417,4423.97,1498002.35,34467270.77,-0.014605,39,902666.9194
2022/7/7,2022/7/6,4425.281,4457.343,4391.194,4443.474,1326609.06,32813313.37,0.004409,44,906646.7779
2022/7/8,2022/7/7,4468.063,4479.494,4426.886,4428.781,1231957.39,30403110.73,-0.003307,40,903648.497
2022/7/11,2022/7/8,4406.148,4406.148,4330.582,4354.617,1344485.78,29919523.34,-0.016746,75,888515.9993
2022/7/12,2022/7/11,4352.646,4370.341,4296.622,4313.618,1301878.38,29107231.19,-0.009415,61,880150.6211
2022/7/13,2022/7/12,4313.359,4341.466,4284.942,4321.462,1311131.79,28607554.54,0.001818,104,881750.735
2022/7/14,2022/7/13,4308.823,4352.098,4292.76,4322.074,1452509.26,30156986.1,0.000142,84,881875.9436
2022/7/15,2022/7/14,4299.471,4344.857,4248.527,4248.527,1502144.53,31679319.27,-0.017017,99,866869.0606
2022/7/18,2022/7/15,4262.154,4300.778,4217.506,4292.586,1226011.92,28105512.86,0.01037,285,875858.4928
2022/7/19,2022/7/18,4288.444,4288.444,4238.824,4269.34,1038057.3,23111773.18,-0.005415,71,871115.7191
2022/7/20,2022/7/19,4291.281,4303.367,4269.972,4283.803,944901.44,21230188.14,0.003388,58,874067.0591
