report_id,date,qid_date,stock_code,page,advance_reaction,star_analyst,title_len,num_sentence,avg_sentence_len,sd_sentence_len,num_authors,analyst_coverage,ln_page,ln_title_len,ln_num_sentence,ln_avg_sentence_len,ln_sd_sentence_len,ln_num_authors,ln_analyst_coverage,rm_rf,smb,hml,rmw,cma,broker_size,listed,ln_broker_size,prior_performance_avg,prior_performance_sd,broker_status,real_return,up_down,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,close,pclose,volume,trade_date
127107,2018/12/27,20181227,300450,6,0,0,18,15,55.6,38.08376732,2,59,1.791759491,2.890371799,2.708050251,4.018183231,3.639788151,1.098612309,4.094344616,0.003519,0.054966,-0.049574,-0.022906,-0.008478,86,1,4.465908051,0.542702377,0.338964177,7.965198291,-0.015646,0,0,0,0,0,1,0,28.94,29.4,8300877,20181228
127157,2018/12/27,20181227,300450,6,0,1,20,15,52.06666667,37.70316815,2,59,1.791759491,2.995732307,2.708050251,3.9525249,3.629744053,1.098612309,4.094344616,0.003519,0.054966,-0.049574,-0.022906,-0.008478,104,1,4.653960228,0.523498163,0.353896327,8.606302366,-0.015646,0,0,0,0,0,1,0,28.94,29.4,8300877,20181228
127255,2018/12/27,20181227,300450,3,0,1,20,19,58.78947368,35.58766633,2,59,1.098612309,2.995732307,2.944438934,4.073962688,3.571999073,1.098612309,4.094344616,0.003519,0.054966,-0.049574,-0.022906,-0.008478,124,1,4.828313828,0.572444089,0.34344956,8.398634855,-0.015646,0,0,0,0,0,1,0,28.94,29.4,8300877,20181228
119789,2018/12/27,20181227,300316,18,0,0,24,21,43.28571429,20.82842119,2,24,2.890371799,3.178053856,3.044522524,3.767822742,3.036318541,1.098612309,3.218875885,0.003519,0.054966,-0.049574,-0.022906,-0.008478,30,0,3.433987141,0.440156707,0.366290263,6.12905021,-0.015717,0,0,0,0,0,1,0,10.02,10.18,16823177,20181228
137445,2018/12/27,20181227,300740,3,1,0,36,13,58.69230769,47.86581342,1,12,1.098612309,3.583518982,2.564949274,4.07230854,3.868401527,0.693147182,2.564949274,0.003519,0.054966,-0.049574,-0.022906,-0.008478,40,0,3.713572025,0.500143035,0.324421157,6.302618976,-0.023206,0,0,0,0,0,1,0,18.1,18.53,4012469,20181228
123532,2018/12/27,20181227,300373,64,1,1,22,12,68.16666667,16.33928463,2,29,4.158883095,3.091042519,2.484906673,4.221955776,2.793572426,1.098612309,3.401197433,0.003519,0.054966,-0.049574,-0.022906,-0.008478,13,0,2.639057398,0.484101209,0.341370981,3.496507561,-0.028917,0,0,0,0,0,1,0,14.44,14.87,5972742,20181228
133783,2018/12/29,20181228,300623,2,0,0,13,12,48.66666667,34.34951075,1,7,0.693147182,2.564949274,2.484906673,3.884994268,3.536587715,0.693147182,2.079441547,0.003519,0.054966,-0.049574,-0.022906,-0.008478,73,0,4.304065228,0.576392766,0.337214435,7.989899375,0.00937,1,0,0,0,0,1,0,23.7,23.48,1783304,20190102
106953,2018/12/29,20181228,300136,2,1,0,14,13,46.76923077,25.17982662,1,27,0.693147182,2.639057398,2.564949274,3.845225573,3.226043224,0.693147182,3.33220458,0.003519,0.054966,-0.049574,-0.022906,-0.008478,73,0,4.304065228,0.576392766,0.337214435,7.989899375,0.008329,1,0,0,0,0,1,0,21.79,21.61,26562063,20190102
127049,2018/12/29,20181228,300450,4,0,0,13,18,53.88888889,27.22516991,1,66,1.386294365,2.564949274,2.890371799,3.98692441,3.304141998,0.693147182,4.204692841,0.003519,0.054966,-0.049574,-0.022906,-0.008478,10,0,2.397895336,0.384025224,0.298017785,3.135494216,-0.000691,0,0,0,0,0,1,0,28.92,28.94,5939562,20190102
127515,2018/12/29,20181228,300451,4,0,0,26,18,67.5,48.04771934,1,28,1.386294365,3.258096457,2.890371799,4.212127686,3.872194767,0.693147182,3.367295742,0.003519,0.054966,-0.049574,-0.022906,-0.008478,35,1,3.583518982,0.545188531,0.319932238,7.157735484,-0.002089,0,0,1,0,0,0,0,19.11,19.15,9011907,20190102
130881,2018/12/29,20181228,300558,4,0,0,23,14,83.85714286,61.04899337,1,17,1.386294365,3.135494232,2.639057398,4.429114819,4.111676693,0.693147182,2.890371799,0.003519,0.054966,-0.049574,-0.022906,-0.008478,35,1,3.583518982,0.545188531,0.319932238,7.157735484,-0.05036,0,0,0,0,0,1,0,30.36,31.97,2423330,20190102
114263,2018/12/29,20181228,300232,2,1,0,18,11,64.09090909,50.08983665,1,16,0.693147182,2.890371799,2.397895336,4.160302639,3.913818121,0.693147182,2.833213329,0.003519,0.054966,-0.049574,-0.022906,-0.008478,73,0,4.304065228,0.576392766,0.337214435,7.989899375,-0.056604,0,0,0,0,0,1,0,9,9.54,7552668,20190102
108044,2019/1/1,20181228,300144,7,0,0,29,12,37.41666667,17.02184055,1,61,1.945910096,3.367295742,2.484906673,3.622116327,2.834497213,0.693147182,4.127134323,-0.043711,0.003143,0.009858,0.010455,0.010951,54,1,4.007333279,0.481838868,0.306045746,6.142037406,-0.085714,0,0,1,0,0,0,0,19.52,21.35,13742603,20190102
114775,2019/1/2,20190102,300244,6,0,0,17,31,69.77419355,45.187573,1,16,1.791759491,2.833213329,3.433987141,4.245264053,3.81082201,0.693147182,2.833213329,-0.043711,0.003143,0.009858,0.010455,0.010951,101,1,4.62497282,0.526812148,0.340832075,8.451480648,0.015884,1,0,1,0,0,0,0,15.35,15.11,4952778,20190103
96082,2019/1/2,20190102,300014,27,0,0,12,7,49,34.58323293,1,42,3.295836926,2.484906673,1.945910096,3.891820192,3.543369055,0.693147182,3.76120019,-0.043711,0.003143,0.009858,0.010455,0.010951,82,1,4.418840408,0.524173784,0.350042163,8.58485184,0.008799,1,0,0,0,0,1,0,16.05,15.91,18594224,20190103
133736,2019/1/2,20190102,300623,4,0,0,8,17,42.94117647,21.0139186,4,8,1.386294365,2.079441547,2.833213329,3.75983119,3.045185089,1.609437943,2.197224617,-0.043711,0.003143,0.009858,0.010455,0.010951,105,0,4.663439274,0.544688015,0.317600387,6.794586581,-0.004219,0,0,0,0,0,1,0,23.6,23.7,1738441,20190103
