stock_code,qid_date,real_return,close,pclose,volume,real_date
300673,20221026,-0.025981,17.62,18.09,9371585,20221027
300673,20221026,-0.025981,17.62,18.09,9371585,20221027
300758,20221026,-0.026009,10.86,11.15,7295900,20221027
301096,20221026,-0.026077,79.55,81.68,5118287,20221027
301096,20221026,-0.026077,79.55,81.68,5118287,20221027
301096,20221026,-0.026077,79.55,81.68,5118287,20221027
300761,20221026,-0.026105,37.68,38.69,6508997,20221027
300750,20221026,-0.026829,390.3,401.06,15281736,20221027
300750,20221026,-0.026829,390.3,401.06,15281736,20221027
300750,20221026,-0.026829,390.3,401.06,15281736,20221027
300750,20221026,-0.026829,390.3,401.06,15281736,20221027
300870,20221026,-0.027406,45.78,47.07,845366,20221027
300285,20221026,-0.028668,23.04,23.72,6842191,20221027
300748,20221026,-0.028955,31.86,32.81,9384133,20221027
300748,20221026,-0.028955,31.86,32.81,9384133,20221027
300919,20221026,-0.030848,76.03,78.45,3932266,20221027
300911,20221026,-0.031979,36.93,38.15,2037703,20221027
300911,20221026,-0.031979,36.93,38.15,2037703,20221027
300911,20221026,-0.031979,36.93,38.15,2037703,20221027
300682,20221026,-0.033425,24.58,25.43,17955997,20221027
300682,20221026,-0.033425,24.58,25.43,17955997,20221027
300682,20221026,-0.033425,24.58,25.43,17955997,20221027
300767,20221026,-0.034205,44.33,45.9,1685356,20221027
300602,20221026,-0.037879,17.78,18.48,9078193,20221027
300633,20221026,-0.038197,55.9,58.12,10419324,20221027
301080,20221026,-0.038842,112.84,117.4,1163248,20221027
301080,20221026,-0.038842,112.84,117.4,1163248,20221027
301155,20221026,-0.040836,101,105.3,3895208,20221027
300580,20221026,-0.040846,19.96,20.81,3437247,20221027
300871,20221026,-0.042184,23.16,24.18,3175600,20221027
300871,20221026,-0.042184,23.16,24.18,3175600,20221027
300298,20221026,-0.042257,35.81,37.39,12367849,20221027
300298,20221026,-0.042257,35.81,37.39,12367849,20221027
300841,20221026,-0.042982,87.28,91.2,2462339,20221027
300841,20221026,-0.042982,87.28,91.2,2462339,20221027
300415,20221026,-0.043916,20.9,21.86,13323459,20221027
300718,20221026,-0.044264,25.91,27.11,7837893,20221027
300693,20221026,-0.045286,56.5,59.18,14803440,20221027
300873,20221026,-0.046397,27.13,28.45,2949446,20221027
300811,20221026,-0.046729,102,107,1155985,20221027
300811,20221026,-0.046729,102,107,1155985,20221027
300811,20221026,-0.046729,102,107,1155985,20221027
300850,20221026,-0.049777,76.55,80.56,24609357,20221027
300850,20221026,-0.049777,76.55,80.56,24609357,20221027
300593,20221026,-0.054253,48.81,51.61,7804774,20221027
300593,20221026,-0.054253,48.81,51.61,7804774,20221027
300593,20221026,-0.054253,48.81,51.61,7804774,20221027
300351,20221026,-0.054281,12.37,13.08,20734158,20221027
300351,20221026,-0.054281,12.37,13.08,20734158,20221027
300653,20221026,-0.056774,43.86,46.5,5926907,20221027
300957,20221026,-0.056903,154.8,164.14,3582672,20221027
300957,20221026,-0.056903,154.8,164.14,3582672,20221027
300957,20221026,-0.056903,154.8,164.14,3582672,20221027
300957,20221026,-0.056903,154.8,164.14,3582672,20221027
300957,20221026,-0.056903,154.8,164.14,3582672,20221027
300957,20221026,-0.056903,154.8,164.14,3582672,20221027
300957,20221026,-0.056903,154.8,164.14,3582672,20221027
300957,20221026,-0.056903,154.8,164.14,3582672,20221027
300957,20221026,-0.056903,154.8,164.14,3582672,20221027
300957,20221026,-0.056903,154.8,164.14,3582672,20221027
300957,20221026,-0.056903,154.8,164.14,3582672,20221027
300957,20221026,-0.056903,154.8,164.14,3582672,20221027
300957,20221026,-0.056903,154.8,164.14,3582672,20221027
300957,20221026,-0.056903,154.8,164.14,3582672,20221027
301101,20221026,-0.059007,60.28,64.06,4129189,20221027
301101,20221026,-0.059007,60.28,64.06,4129189,20221027
301101,20221026,-0.059007,60.28,64.06,4129189,20221027
